free env bit hready, hburst0, hburst1, hbusreq0, hlock0, hbusreq1, hlock1, hbusreq2, hlock2, hbusreq3, hlock3, hbusreq4, hlock4, hbusreq5, hlock5, hbusreq6, hlock6, hbusreq7, hlock7, hbusreq8, hlock8, hbusreq9, hlock9, hbusreq10, hlock10, hbusreq11, hlock11, hbusreq12, hlock12, hbusreq13, hlock13, hbusreq14, hlock14, hbusreq15, hlock15, hbusreq16, hlock16, hbusreq17, hlock17, hbusreq18, hlock18, hbusreq19, hlock19, hbusreq20, hlock20, hbusreq21, hlock21, hbusreq22, hlock22, hbusreq23, hlock23, hbusreq24, hlock24, hbusreq25, hlock25, hbusreq26, hlock26, hbusreq27, hlock27, hbusreq28, hlock28, hbusreq29, hlock29, hbusreq30, hlock30, hbusreq31, hlock31, hbusreq32, hlock32, hbusreq33, hlock33, hbusreq34, hlock34, hbusreq35, hlock35, hbusreq36, hlock36, hbusreq37, hlock37, hbusreq38, hlock38, hbusreq39, hlock39, hbusreq40, hlock40, hbusreq41, hlock41, hbusreq42, hlock42, hbusreq43, hlock43, hbusreq44, hlock44, hbusreq45, hlock45, hbusreq46, hlock46, hbusreq47, hlock47, hbusreq48, hlock48, hbusreq49, hlock49, hbusreq50, hlock50, hbusreq51, hlock51, hbusreq52, hlock52, hbusreq53, hlock53, hbusreq54, hlock54, hbusreq55, hlock55, hbusreq56, hlock56, hbusreq57, hlock57, hbusreq58, hlock58, hbusreq59, hlock59, hbusreq60, hlock60, hbusreq61, hlock61, hbusreq62, hlock62, hbusreq63, hlock63, hbusreq64, hlock64, hbusreq65, hlock65, hbusreq66, hlock66, hbusreq67, hlock67, hbusreq68, hlock68, hbusreq69, hlock69, hbusreq70, hlock70, hbusreq71, hlock71, hbusreq72, hlock72, hbusreq73, hlock73, hbusreq74, hlock74, hbusreq75, hlock75, hbusreq76, hlock76, hbusreq77, hlock77, hbusreq78, hlock78, hbusreq79, hlock79, hbusreq80, hlock80;
free sys bit hmaster0, hmaster1, hmaster2, hmaster3, hmaster4, hmaster5, hmaster6, hmastlock, start, locked, decide, hgrant0, busreq, stateA1_0, stateA1_1, stateG2, stateG3_0, stateG3_1, stateG3_2, hgrant1, hgrant2, hgrant3, hgrant4, hgrant5, hgrant6, hgrant7, hgrant8, hgrant9, hgrant10, hgrant11, hgrant12, hgrant13, hgrant14, hgrant15, hgrant16, hgrant17, hgrant18, hgrant19, hgrant20, hgrant21, hgrant22, hgrant23, hgrant24, hgrant25, hgrant26, hgrant27, hgrant28, hgrant29, hgrant30, hgrant31, hgrant32, hgrant33, hgrant34, hgrant35, hgrant36, hgrant37, hgrant38, hgrant39, hgrant40, hgrant41, hgrant42, hgrant43, hgrant44, hgrant45, hgrant46, hgrant47, hgrant48, hgrant49, hgrant50, hgrant51, hgrant52, hgrant53, hgrant54, hgrant55, hgrant56, hgrant57, hgrant58, hgrant59, hgrant60, hgrant61, hgrant62, hgrant63, hgrant64, hgrant65, hgrant66, hgrant67, hgrant68, hgrant69, hgrant70, hgrant71, hgrant72, hgrant73, hgrant74, hgrant75, hgrant76, hgrant77, hgrant78, hgrant79, hgrant80, stateG10_1, stateG10_2, stateG10_3, stateG10_4, stateG10_5, stateG10_6, stateG10_7, stateG10_8, stateG10_9, stateG10_10, stateG10_11, stateG10_12, stateG10_13, stateG10_14, stateG10_15, stateG10_16, stateG10_17, stateG10_18, stateG10_19, stateG10_20, stateG10_21, stateG10_22, stateG10_23, stateG10_24, stateG10_25, stateG10_26, stateG10_27, stateG10_28, stateG10_29, stateG10_30, stateG10_31, stateG10_32, stateG10_33, stateG10_34, stateG10_35, stateG10_36, stateG10_37, stateG10_38, stateG10_39, stateG10_40, stateG10_41, stateG10_42, stateG10_43, stateG10_44, stateG10_45, stateG10_46, stateG10_47, stateG10_48, stateG10_49, stateG10_50, stateG10_51, stateG10_52, stateG10_53, stateG10_54, stateG10_55, stateG10_56, stateG10_57, stateG10_58, stateG10_59, stateG10_60, stateG10_61, stateG10_62, stateG10_63, stateG10_64, stateG10_65, stateG10_66, stateG10_67, stateG10_68, stateG10_69, stateG10_70, stateG10_71, stateG10_72, stateG10_73, stateG10_74, stateG10_75, stateG10_76, stateG10_77, stateG10_78, stateG10_79, stateG10_80;
assume ltl {
((((((((hready == 0) 
&& (hbusreq66 == 0)) 
&& ((hlock66 == 0) 
&& (hbusreq67 == 0)))) 
&& ((((hlock67 == 0) 
&& (hbusreq68 == 0)) 
&& ((hlock68 == 0) 
&& (hbusreq69 == 0))) 
&& (((hlock69 == 0) 
&& (hbusreq70 == 0)) 
&& ((hlock70 == 0) 
&& (hbusreq71 == 0))))) 
&& (((((hlock71 == 0) 
&& (hbusreq72 == 0)) 
&& ((hlock72 == 0) 
&& (hbusreq73 == 0))) 
&& (((hlock73 == 0) 
&& (hbusreq74 == 0)) 
&& ((hlock74 == 0) 
&& (hbusreq75 == 0)))) 
&& ((((hlock75 == 0) 
&& (hbusreq76 == 0)) 
&& ((hlock76 == 0) 
&& (hbusreq77 == 0))) 
&& (((hlock77 == 0) 
&& (hbusreq78 == 0)) 
&& ((hlock78 == 0) 
&& (hbusreq79 == 0)))))) 
&& ((((hlock79 == 0) 
&& (hbusreq80 == 0)) 
&& ((hlock80 == 0) 
&& (hburst0 == 0))) 
&& (hburst1 == 0)))
 && 
[]( hlock0 == 1 -> hbusreq0 == 1 ) && 
[]( hlock1 == 1 -> hbusreq1 == 1 ) && 
[]( hlock2 == 1 -> hbusreq2 == 1 ) && 
[]( hlock3 == 1 -> hbusreq3 == 1 ) && 
[]( hlock4 == 1 -> hbusreq4 == 1 ) && 
[]( hlock5 == 1 -> hbusreq5 == 1 ) && 
[]( hlock6 == 1 -> hbusreq6 == 1 ) && 
[]( hlock7 == 1 -> hbusreq7 == 1 ) && 
[]( hlock8 == 1 -> hbusreq8 == 1 ) && 
[]( hlock9 == 1 -> hbusreq9 == 1 ) && 
[]( hlock10 == 1 -> hbusreq10 == 1 ) && 
[]( hlock11 == 1 -> hbusreq11 == 1 ) && 
[]( hlock12 == 1 -> hbusreq12 == 1 ) && 
[]( hlock13 == 1 -> hbusreq13 == 1 ) && 
[]( hlock14 == 1 -> hbusreq14 == 1 ) && 
[]( hlock15 == 1 -> hbusreq15 == 1 ) && 
[]( hlock16 == 1 -> hbusreq16 == 1 ) && 
[]( hlock17 == 1 -> hbusreq17 == 1 ) && 
[]( hlock18 == 1 -> hbusreq18 == 1 ) && 
[]( hlock19 == 1 -> hbusreq19 == 1 ) && 
[]( hlock20 == 1 -> hbusreq20 == 1 ) && 
[]( hlock21 == 1 -> hbusreq21 == 1 ) && 
[]( hlock22 == 1 -> hbusreq22 == 1 ) && 
[]( hlock23 == 1 -> hbusreq23 == 1 ) && 
[]( hlock24 == 1 -> hbusreq24 == 1 ) && 
[]( hlock25 == 1 -> hbusreq25 == 1 ) && 
[]( hlock26 == 1 -> hbusreq26 == 1 ) && 
[]( hlock27 == 1 -> hbusreq27 == 1 ) && 
[]( hlock28 == 1 -> hbusreq28 == 1 ) && 
[]( hlock29 == 1 -> hbusreq29 == 1 ) && 
[]( hlock30 == 1 -> hbusreq30 == 1 ) && 
[]( hlock31 == 1 -> hbusreq31 == 1 ) && 
[]( hlock32 == 1 -> hbusreq32 == 1 ) && 
[]( hlock33 == 1 -> hbusreq33 == 1 ) && 
[]( hlock34 == 1 -> hbusreq34 == 1 ) && 
[]( hlock35 == 1 -> hbusreq35 == 1 ) && 
[]( hlock36 == 1 -> hbusreq36 == 1 ) && 
[]( hlock37 == 1 -> hbusreq37 == 1 ) && 
[]( hlock38 == 1 -> hbusreq38 == 1 ) && 
[]( hlock39 == 1 -> hbusreq39 == 1 ) && 
[]( hlock40 == 1 -> hbusreq40 == 1 ) && 
[]( hlock41 == 1 -> hbusreq41 == 1 ) && 
[]( hlock42 == 1 -> hbusreq42 == 1 ) && 
[]( hlock43 == 1 -> hbusreq43 == 1 ) && 
[]( hlock44 == 1 -> hbusreq44 == 1 ) && 
[]( hlock45 == 1 -> hbusreq45 == 1 ) && 
[]( hlock46 == 1 -> hbusreq46 == 1 ) && 
[]( hlock47 == 1 -> hbusreq47 == 1 ) && 
[]( hlock48 == 1 -> hbusreq48 == 1 ) && 
[]( hlock49 == 1 -> hbusreq49 == 1 ) && 
[]( hlock50 == 1 -> hbusreq50 == 1 ) && 
[]( hlock51 == 1 -> hbusreq51 == 1 ) && 
[]( hlock52 == 1 -> hbusreq52 == 1 ) && 
[]( hlock53 == 1 -> hbusreq53 == 1 ) && 
[]( hlock54 == 1 -> hbusreq54 == 1 ) && 
[]( hlock55 == 1 -> hbusreq55 == 1 ) && 
[]( hlock56 == 1 -> hbusreq56 == 1 ) && 
[]( hlock57 == 1 -> hbusreq57 == 1 ) && 
[]( hlock58 == 1 -> hbusreq58 == 1 ) && 
[]( hlock59 == 1 -> hbusreq59 == 1 ) && 
[]( hlock60 == 1 -> hbusreq60 == 1 ) && 
[]( hlock61 == 1 -> hbusreq61 == 1 ) && 
[]( hlock62 == 1 -> hbusreq62 == 1 ) && 
[]( hlock63 == 1 -> hbusreq63 == 1 ) && 
[]( hlock64 == 1 -> hbusreq64 == 1 ) && 
[]( hlock65 == 1 -> hbusreq65 == 1 ) && 
[]( hlock66 == 1 -> hbusreq66 == 1 ) && 
[]( hlock67 == 1 -> hbusreq67 == 1 ) && 
[]( hlock68 == 1 -> hbusreq68 == 1 ) && 
[]( hlock69 == 1 -> hbusreq69 == 1 ) && 
[]( hlock70 == 1 -> hbusreq70 == 1 ) && 
[]( hlock71 == 1 -> hbusreq71 == 1 ) && 
[]( hlock72 == 1 -> hbusreq72 == 1 ) && 
[]( hlock73 == 1 -> hbusreq73 == 1 ) && 
[]( hlock74 == 1 -> hbusreq74 == 1 ) && 
[]( hlock75 == 1 -> hbusreq75 == 1 ) && 
[]( hlock76 == 1 -> hbusreq76 == 1 ) && 
[]( hlock77 == 1 -> hbusreq77 == 1 ) && 
[]( hlock78 == 1 -> hbusreq78 == 1 ) && 
[]( hlock79 == 1 -> hbusreq79 == 1 ) && 
[]( hlock80 == 1 -> hbusreq80 == 1 ) && 

[](<>(stateA1_1 == 0)) && 
[](<>(hready == 1))

}
assert ltl {
hmaster0 == 0 && 
hmaster1 == 0 && 
hmaster2 == 0 && 
hmaster3 == 0 && 
hmaster4 == 0 && 
hmaster5 == 0 && 
hmaster6 == 0 && 
hmastlock == 0&&
start == 1&&
decide == 1&&
locked == 0&&
hgrant0 == 1&&
hgrant1 == 0 && 
hgrant2 == 0 && 
hgrant3 == 0 && 
hgrant4 == 0 && 
hgrant5 == 0 && 
hgrant6 == 0 && 
hgrant7 == 0 && 
hgrant8 == 0 && 
hgrant9 == 0 && 
hgrant10 == 0 && 
hgrant11 == 0 && 
hgrant12 == 0 && 
hgrant13 == 0 && 
hgrant14 == 0 && 
hgrant15 == 0 && 
hgrant16 == 0 && 
hgrant17 == 0 && 
hgrant18 == 0 && 
hgrant19 == 0 && 
hgrant20 == 0 && 
hgrant21 == 0 && 
hgrant22 == 0 && 
hgrant23 == 0 && 
hgrant24 == 0 && 
hgrant25 == 0 && 
hgrant26 == 0 && 
hgrant27 == 0 && 
hgrant28 == 0 && 
hgrant29 == 0 && 
hgrant30 == 0 && 
hgrant31 == 0 && 
hgrant32 == 0 && 
hgrant33 == 0 && 
hgrant34 == 0 && 
hgrant35 == 0 && 
hgrant36 == 0 && 
hgrant37 == 0 && 
hgrant38 == 0 && 
hgrant39 == 0 && 
hgrant40 == 0 && 
hgrant41 == 0 && 
hgrant42 == 0 && 
hgrant43 == 0 && 
hgrant44 == 0 && 
hgrant45 == 0 && 
hgrant46 == 0 && 
hgrant47 == 0 && 
hgrant48 == 0 && 
hgrant49 == 0 && 
hgrant50 == 0 && 
hgrant51 == 0 && 
hgrant52 == 0 && 
hgrant53 == 0 && 
hgrant54 == 0 && 
hgrant55 == 0 && 
hgrant56 == 0 && 
hgrant57 == 0 && 
hgrant58 == 0 && 
hgrant59 == 0 && 
hgrant60 == 0 && 
hgrant61 == 0 && 
hgrant62 == 0 && 
hgrant63 == 0 && 
hgrant64 == 0 && 
hgrant65 == 0 && 
hgrant66 == 0 && 
hgrant67 == 0 && 
hgrant68 == 0 && 
hgrant69 == 0 && 
hgrant70 == 0 && 
hgrant71 == 0 && 
hgrant72 == 0 && 
hgrant73 == 0 && 
hgrant74 == 0 && 
hgrant75 == 0 && 
hgrant76 == 0 && 
hgrant77 == 0 && 
hgrant78 == 0 && 
hgrant79 == 0 && 
hgrant80 == 0 && 
busreq==0 && 
stateA1_0 == 0 && 
stateA1_1 == 0 && 
stateG2 == 0 && 
stateG3_0 == 0 && 
stateG3_1 == 0 && 
stateG3_2 == 0 && 
stateG10_1 == 0 && 
stateG10_2 == 0 && 
stateG10_3 == 0 && 
stateG10_4 == 0 && 
stateG10_5 == 0 && 
stateG10_6 == 0 && 
stateG10_7 == 0 && 
stateG10_8 == 0 && 
stateG10_9 == 0 && 
stateG10_10 == 0 && 
stateG10_11 == 0 && 
stateG10_12 == 0 && 
stateG10_13 == 0 && 
stateG10_14 == 0 && 
stateG10_15 == 0 && 
stateG10_16 == 0 && 
stateG10_17 == 0 && 
stateG10_18 == 0 && 
stateG10_19 == 0 && 
stateG10_20 == 0 && 
stateG10_21 == 0 && 
stateG10_22 == 0 && 
stateG10_23 == 0 && 
stateG10_24 == 0 && 
stateG10_25 == 0 && 
stateG10_26 == 0 && 
stateG10_27 == 0 && 
stateG10_28 == 0 && 
stateG10_29 == 0 && 
stateG10_30 == 0 && 
stateG10_31 == 0 && 
stateG10_32 == 0 && 
stateG10_33 == 0 && 
stateG10_34 == 0 && 
stateG10_35 == 0 && 
stateG10_36 == 0 && 
stateG10_37 == 0 && 
stateG10_38 == 0 && 
stateG10_39 == 0 && 
stateG10_40 == 0 && 
stateG10_41 == 0 && 
stateG10_42 == 0 && 
stateG10_43 == 0 && 
stateG10_44 == 0 && 
stateG10_45 == 0 && 
stateG10_46 == 0 && 
stateG10_47 == 0 && 
stateG10_48 == 0 && 
stateG10_49 == 0 && 
stateG10_50 == 0 && 
stateG10_51 == 0 && 
stateG10_52 == 0 && 
stateG10_53 == 0 && 
stateG10_54 == 0 && 
stateG10_55 == 0 && 
stateG10_56 == 0 && 
stateG10_57 == 0 && 
stateG10_58 == 0 && 
stateG10_59 == 0 && 
stateG10_60 == 0 && 
stateG10_61 == 0 && 
stateG10_62 == 0 && 
stateG10_63 == 0 && 
stateG10_64 == 0 && 
stateG10_65 == 0 && 
stateG10_66 == 0 && 
stateG10_67 == 0 && 
stateG10_68 == 0 && 
stateG10_69 == 0 && 
stateG10_70 == 0 && 
stateG10_71 == 0 && 
stateG10_72 == 0 && 
stateG10_73 == 0 && 
stateG10_74 == 0 && 
stateG10_75 == 0 && 
stateG10_76 == 0 && 
stateG10_77 == 0 && 
stateG10_78 == 0 && 
stateG10_79 == 0 && 
stateG10_80 == 0 && 

